user,item
11,733
11,5418
11,2167
11,4963
11,54286
11,49272
11,53972
11,8665
11,32587
11,3717
14,2081
14,2080
14,1035
14,914
14,539
14,1028
14,919
14,597
14,1307
14,4246
18,750
18,5995
18,46578
18,296
18,5618
18,912
18,1193
18,4226
18,2959
18,48394
25,1270
25,2762
25,1196
25,1210
25,1
25,260
25,7153
25,4226
25,150
25,47
31,79132
31,54286
31,8644
31,69122
31,5349
31,68954
31,4963
31,6377
31,68358
31,56174
35,4878
35,4963
35,4995
35,5989
35,33794
35,5952
35,48516
35,58559
35,2959
35,44191
43,5952
43,364
43,8961
43,1197
43,1
43,7153
43,4886
43,4993
43,588
43,2762
50,1198
50,260
50,50
50,858
50,750
50,4993
50,1196
50,2329
50,4226
50,527
58,1270
58,1198
58,1196
58,608
58,1387
58,2762
58,593
58,260
58,1291
58,457
60,68954
60,60069
60,2571
60,4306
60,58559
60,6377
60,356
60,4973
60,1
60,8961
61,296
61,1198
61,4993
61,2571
61,356
61,318
61,5952
61,7153
61,260
61,1196
65,7153
65,4993
65,56367
65,68954
65,58559
65,2571
65,296
65,2858
65,593
65,5952
72,318
72,1198
72,608
72,1196
72,1270
72,527
72,260
72,858
72,50
72,2762
77,318
77,50
77,2571
77,1222
77,1213
77,2959
77,1089
77,296
77,593
77,858
82,4878
82,32587
82,2858
82,2571
82,7361
82,4973
82,68157
82,296
82,46578
82,74458
85,6377
85,1197
85,4306
85,8961
85,595
85,914
85,4973
85,912
85,1
85,356
90,4993
90,7153
90,1270
90,780
90,6539
90,1198
90,5952
90,2571
90,110
90,5349
91,919
91,2918
91,1784
91,1
91,1270
91,1197
91,2762
91,356
91,6377
91,318
96,76251
96,78499
96,81845
96,68157
96,69757
96,80463
96,63082
96,4995
96,56367
96,81591
98,356
98,318
98,1198
98,2571
98,5952
98,7153
98,296
98,1196
98,260
98,4993
99,32
99,858
99,6874
99,7153
99,4226
99,48516
99,2571
99,50
99,1089
99,4993
102,858
102,1193
102,50
102,356
102,593
102,527
102,2858
102,1198
102,7361
102,5952
116,2000
116,1200
116,3527
116,4226
116,1240
116,2115
116,1214
116,593
116,2916
116,2716
